"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"1",1,27610,78475,1817,24,245,0,0.0132085855806274,0.0305829882128066
"2",2,28269,76811,1213,13,149,0,0.010717230008244,0.0169246592284959
"3",3,28277,71605,635,6,88,0,0.0094488188976378,0.00837930312129041
"4",4,27587,66583,542,15,73,0,0.0276752767527675,0.0225282729825932
"5",5,27406,63465,610,35,100,0,0.0573770491803279,0.0551485070511305
"6",6,28027,63423,813,17,110,0,0.020910209102091,0.0268041562209293
"7",7,28215,62533,1637,13,272,0,0.00794135613927917,0.0207890233956471
"8",8,28078,60107,545,6,82,0,0.0110091743119266,0.00998219841283045
"9",9,27858,59652,435,4,75,13173.59,0.00919540229885057,0.00670555890833501
"10",10,28314,58110,436,6,81,0,0.0137614678899083,0.0103252452245741
"11",11,28173,56910,505,1,79,0,0.00198019801980198,0.00175716042874714
"12",12,27834,56458,651,4,113,7008,0.00614439324116743,0.00708491267845124
"13",13,28227,55769,1173,10,205,0,0.00852514919011083,0.0179311086804497
"14",14,27410,55519,312,5,55,0,0.016025641025641,0.0090059258992417
"15",15,27519,55111,265,3,44,0,0.0113207547169811,0.00544355936201484
"16",16,28025,54829,654,7,118,60,0.0107033639143731,0.0127669663864014
"17",17,27713,54621,534,4,99,0,0.00749063670411985,0.00732319071419417
"18",18,28655,54594,1146,21,197,0,0.0183246073298429,0.0384657654687328
"19",19,27284,54413,433,4,77,0,0.0092378752886836,0.00735118445959605
"20",20,27603,53803,626,2,113,374,0.00319488817891374,0.00371726483653328
"21",21,28110,53520,785,16,141,0,0.0203821656050955,0.0298953662182362
"22",22,27616,53364,805,5,146,0,0.0062111801242236,0.00936961247282812
"23",23,28601,51706,640,11,128,0,0.0171875,0.0212741267937957
"24",24,27707,51168,812,5,173,0,0.0061576354679803,0.00977173233270794
"25",25,27703,51163,1208,8,197,0,0.00662251655629139,0.0156362996696832
"26",26,28216,51116,1037,9,177,0,0.00867888138862102,0.0176070115032475
"27",27,27407,50288,588,10,118,0,0.0170068027210884,0.0198854597518295
"28",28,27265,50139,363,21,73,0,0.0578512396694215,0.0418835636929336
"29",29,27705,49019,961,34,200,0,0.0353798126951093,0.0693608600746649
"30",30,27405,48990,743,11,141,7.5,0.0148048452220727,0.0224535619514187
"31",31,27529,48833,673,14,125,0,0.0208023774145617,0.0286691376732947
"32",32,28540,48775,165,1,31,8044.4,0.00606060606060606,0.00205023065094823
"33",33,28205,48539,1146,23,221,0,0.0200698080279232,0.047384577350172
"34",34,27106,48351,559,5,109,0,0.00894454382826476,0.0103410477549585
"35",35,28210,48304,1090,14,244,0,0.0128440366972477,0.0289831069890692
"36",37,27604,47761,852,9,179,0,0.0105633802816901,0.0188438265530454
"37",38,27107,47610,918,8,175,0,0.00871459694989107,0.0168031926065953
"38",39,27526,47425,316,8,58,0,0.0253164556962025,0.0168687401159726
"39",40,28645,46604,592,6,124,0,0.0101351351351351,0.0128744313792807
"40",41,27606,46589,367,2,77,0,0.00544959128065395,0.0042928588293374
"41",42,28546,46338,193,1,37,115.2,0.00518134715025907,0.00215805602313436
"42",43,28105,45786,538,18,119,0,0.033457249070632,0.0393133272179269
"43",44,28212,45694,1287,14,301,0,0.0108780108780109,0.0306385958769204
"44",45,27360,45603,517,0,107,0,0,0
"45",46,27513,44821,243,1,50,0,0.00411522633744856,0.00223109703040985
"46",47,28376,44328,513,6,117,5378.68,0.0116959064327485,0.0135354629128316
"47",48,27615,43461,379,5,82,0,0.0131926121372032,0.0115045673132234
"48",49,28262,43046,701,2,160,0,0.00285306704707561,0.00464619244529108
"49",50,27613,42933,269,3,58,0,0.0111524163568773,0.00698763189155195
"50",51,28806,42650,422,27,96,0,0.0639810426540284,0.063305978898007
"51",52,28306,41944,320,4,75,0,0.0125,0.00953652489032996
"52",53,27516,41551,293,6,66,247.8,0.0204778156996587,0.0144400856778417
